index,critical_temp
0,70
1,80
2,48
3,76
4,3
5,96
6,32
7,5
8,20
9,33
10,31
11,32
12,3
13,32
14,20
15,17
16,5
17,87
18,75
19,10
20,12
21,97
22,11
23,12
24,2
25,0
26,1
27,13
28,5
29,10
30,0
31,6
32,86
33,1
34,88
35,2
36,48
37,6
38,16
39,0
40,24
41,3
42,7
43,39
44,2
45,56
46,23
47,61
48,82
49,27
50,1
51,19
52,72
53,0
54,29
55,68
56,78
57,88
58,22
59,3
60,25
61,90
62,27
63,2
64,83
65,86
66,9
67,50
68,27
69,6
70,20
71,26
72,86
73,16
74,59
75,5
76,35
77,6
78,43
79,2
80,10
81,1
82,5
83,8
84,7
85,77
86,21
87,2
88,27
89,4
90,5
91,0
92,29
93,5
94,4
95,61
96,16
97,2
98,71
99,86
100,27
101,91
102,53
103,12
104,87
105,5
106,65
107,4
108,21
109,9
110,132
111,130
112,66
113,9
114,17
115,34
116,2
117,11
118,14
119,2
120,90
121,11
122,2
123,21
124,4
125,33
126,18
127,86
128,12
129,89
130,17
131,0
132,18
133,59
134,4
135,74
136,0
137,4
138,15
139,77
140,64
141,49
142,13
143,52
144,28
145,70
146,5
147,81
148,69
149,1
150,47
151,48
152,12
153,36
154,82
155,0
156,8
157,10
158,3
159,22
160,4
161,4
162,59
163,27
164,59
165,78
166,45
167,2
168,54
169,11
170,108
171,73
172,9
173,86
174,65
175,9
176,19
177,87
178,10
179,5
180,75
181,14
182,7
183,28
184,2
185,8
186,33
187,20
188,4
189,51
190,3
191,3
192,83
193,17
194,9
195,5
196,76
197,45
198,13
199,34
200,3
201,5
202,0
203,5
204,65
205,30
206,10
207,103
208,12
209,7
210,27
211,100
212,12
213,8
214,55
215,71
216,4
217,64
218,21
219,4
220,1
221,70
222,64
223,6
224,5
225,93
226,53
227,0
228,4
229,3
230,2
231,13
232,76
233,31
234,83
235,30
236,59
237,78
238,16
239,88
240,33
241,44
242,87
243,8
244,78
245,81
246,82
247,75
248,7
249,3
250,98
251,3
252,75
253,16
254,12
255,40
256,0
257,91
258,87
259,90
260,18
261,14
262,44
263,3
264,4
265,5
266,2
267,3
268,45
269,78
270,50
271,84
272,7
273,28
274,50
275,1
276,1
277,20
278,2
279,47
280,1
281,27
282,110
283,27
284,89
285,74
286,89
287,4
288,31
289,6
290,74
291,39
292,25
293,27
294,19
295,71
296,6
297,62
298,2
299,72
300,10
301,13
302,69
303,23
304,77
305,99
306,11
307,36
308,74
309,29
310,3
311,2
312,3
313,4
314,55
315,4
316,36
317,47
318,8
319,93
320,7
321,8
322,7
323,2
324,87
325,1
326,19
327,87
328,6
329,9
330,70
331,65
332,10
333,53
334,6
335,5
336,7
337,8
338,1
339,124
340,5
341,41
342,78
343,3
344,4
345,3
346,86
347,102
348,12
349,39
350,4
351,102
352,5
353,0
354,4
355,28
356,3
357,4
358,2
359,12
360,83
361,1
362,18
363,23
364,29
365,16
366,4
367,56
368,3
369,67
370,0
371,56
372,6
373,12
374,3
375,52
376,46
377,14
378,108
379,5
380,92
381,38
382,2
383,5
384,66
385,7
386,78
387,4
388,90
389,3
390,6
391,6
392,13
393,9
394,17
395,121
396,2
397,5
398,37
399,2
400,23
401,78
402,5
403,75
404,32
405,47
406,5
407,65
408,20
409,23
410,1
411,79
412,7
413,86
414,29
415,105
416,82
417,0
418,2
419,4
420,76
421,46
422,90
423,3
424,66
425,28
426,86
427,77
428,78
429,30
430,2
431,71
432,84
433,5
434,51
435,9
436,75
437,19
438,0
439,5
440,7
441,87
442,24
443,5
444,26
445,80
446,32
447,21
448,66
449,4
450,82
451,92
452,14
453,30
454,4
455,17
456,33
457,3
458,73
459,16
460,19
461,39
462,61
463,1
464,89
465,7
466,4
467,85
468,75
469,15
470,74
471,3
472,69
473,20
474,3
475,1
476,83
477,3
478,72
479,15
480,69
481,64
482,36
483,46
484,2
485,2
486,8
487,15
488,114
489,45
490,37
491,6
492,26
493,21
494,44
495,64
496,55
497,7
498,11
499,7
500,42
501,9
502,35
503,1
504,12
505,18
506,4
507,11
508,21
509,6
510,3
511,78
512,89
513,42
514,108
515,10
516,90
517,72
518,3
519,13
520,7
521,23
522,103
523,12
524,7
525,85
526,84
527,1
528,1
529,12
530,34
531,3
532,73
533,18
534,28
535,7
536,1
537,10
538,62
539,4
540,6
541,102
542,3
543,83
544,1
545,78
546,12
547,6
548,2
549,3
550,33
551,78
552,77
553,74
554,4
555,0
556,14
557,11
558,3
559,66
560,28
561,2
562,70
563,45
564,10
565,14
566,0
567,61
568,3
569,72
570,63
571,24
572,16
573,11
574,10
575,8
576,56
577,9
578,77
579,2
580,34
581,4
582,7
583,20
584,90
585,76
586,6
587,74
588,65
589,6
590,6
591,91
592,26
593,12
594,79
595,41
596,4
597,17
598,123
599,3
600,1
601,86
602,78
603,7
604,23
605,46
606,4
607,20
608,23
609,3
610,5
611,2
612,35
613,28
614,3
615,19
616,8
617,18
618,22
619,28
620,6
621,5
622,3
623,117
624,20
625,4
626,4
627,65
628,90
629,90
630,43
631,88
632,23
633,59
634,88
635,6
636,1
637,14
638,48
639,18
640,6
641,57
642,17
643,75
644,11
645,1
646,71
647,6
648,40
649,2
650,20
651,3
652,68
653,86
654,8
655,16
656,3
657,3
658,10
659,78
660,117
661,2
662,44
663,57
664,79
665,77
666,43
667,11
668,6
669,76
670,7
671,0
672,106
673,36
674,14
675,73
676,31
677,52
678,27
679,39
680,18
681,8
682,68
683,31
684,55
685,3
686,3
687,78
688,70
689,56
690,12
691,62
692,5
693,82
694,50
695,62
696,40
697,26
698,75
699,20
700,25
701,13
702,87
703,82
704,90
705,26
706,34
707,32
708,80
709,30
710,1
711,88
712,43
713,4
714,3
715,7
716,70
717,6
718,17
719,0
720,34
721,78
722,4
723,84
724,16
725,54
726,2
727,19
728,43
729,87
730,15
731,33
732,38
733,9
734,75
735,47
736,17
737,3
738,72
739,70
740,1
741,85
742,8
743,92
744,92
745,22
746,72
747,7
748,68
749,34
750,27
751,74
752,5
753,3
754,83
755,87
756,15
757,3
758,21
759,106
760,72
761,1
762,7
763,20
764,10
765,4
766,66
767,3
768,1
769,17
770,3
771,4
772,63
773,43
774,13
775,91
776,41
777,32
778,34
779,57
780,26
781,36
782,29
783,71
784,80
785,13
786,106
787,81
788,41
789,8
790,58
791,116
792,3
793,1
794,81
795,3
796,44
797,10
798,3
799,3
800,42
801,2
802,48
803,10
804,88
805,55
806,7
807,77
808,46
809,42
810,5
811,2
812,7
813,7
814,93
815,2
816,25
817,64
818,66
819,81
820,27
821,14
822,61
823,61
824,34
825,22
826,4
827,4
828,9
829,83
830,4
831,27
832,23
833,9
834,9
835,61
836,13
837,31
838,65
839,6
840,59
841,4
842,10
843,7
844,19
845,3
846,14
847,27
848,2
849,2
850,81
851,6
852,12
853,84
854,17
855,79
856,61
857,10
858,3
859,80
860,5
861,3
862,86
863,14
864,129
865,1
866,75
867,27
868,24
869,3
870,35
871,66
872,9
873,68
874,12
875,39
876,76
877,84
878,76
879,15
880,7
881,2
882,78
883,91
884,4
885,1
886,7
887,105
888,12
889,71
890,52
891,14
892,35
893,61
894,61
895,23
896,28
897,4
898,22
899,13
900,78
901,11
902,14
903,130
904,3
905,4
906,46
907,7
908,76
909,32
910,70
911,20
912,5
913,71
914,123
915,2
916,72
917,112
918,53
919,121
920,36
921,17
922,79
923,34
924,4
925,4
926,26
927,75
928,43
929,5
930,44
931,6
932,80
933,4
934,7
935,22
936,6
937,57
938,5
939,26
940,89
941,2
942,15
943,4
944,3
945,75
946,2
947,34
948,80
949,38
950,60
951,94
952,10
953,3
954,76
955,42
956,53
957,2
958,6
959,3
960,3
961,61
962,5
963,89
964,32
965,3
966,32
967,60
968,86
969,92
970,6
971,81
972,72
973,66
974,12
975,76
976,2
977,77
978,40
979,77
980,6
981,86
982,29
983,79
984,34
985,40
986,10
987,3
988,0
989,59
990,108
991,77
992,39
993,7
994,14
995,90
996,2
997,19
998,39
999,87
1000,0
1001,8
1002,50
1003,90
1004,91
1005,1
1006,83
1007,1
1008,3
1009,2
1010,7
1011,37
1012,50
1013,86
1014,16
1015,2
1016,48
1017,59
1018,13
1019,2
1020,3
1021,37
1022,107
1023,32
1024,27
1025,27
1026,99
1027,82
1028,2
1029,36
1030,13
1031,8
1032,1
1033,2
1034,67
1035,65
1036,87
1037,3
1038,74
1039,7
1040,2
1041,2
1042,19
1043,26
1044,8
1045,70
1046,6
1047,0
1048,40
1049,7
1050,82
1051,82
1052,5
1053,32
1054,58
1055,46
1056,41
1057,120
1058,2
1059,2
1060,61
1061,4
1062,46
1063,7
1064,6
1065,3
1066,73
1067,58
1068,73
1069,5
1070,8
1071,73
1072,13
1073,24
1074,8
1075,120
1076,28
1077,16
1078,68
1079,105
1080,3
1081,53
1082,0
1083,4
1084,54
1085,5
1086,3
1087,79
1088,5
1089,39
1090,25
1091,9
1092,81
1093,1
1094,9
1095,2
1096,3
1097,36
1098,10
1099,126
1100,90
1101,91
1102,29
1103,71
1104,2
1105,4
1106,48
1107,1
1108,80
1109,5
1110,19
1111,17
1112,4
1113,41
1114,9
1115,120
1116,34
1117,6
1118,12
1119,3
1120,5
1121,3
1122,0
1123,22
1124,5
1125,34
1126,6
1127,6
1128,77
1129,37
1130,75
1131,55
1132,5
1133,51
1134,6
1135,23
1136,8
1137,72
1138,27
1139,35
1140,4
1141,20
1142,31
1143,4
1144,79
1145,50
1146,1
1147,2
1148,16
1149,8
1150,87
1151,9
1152,12
1153,62
1154,77
1155,15
1156,81
1157,4
1158,10
1159,10
1160,5
1161,115
1162,35
1163,45
1164,29
1165,5
1166,78
1167,15
1168,29
1169,87
1170,5
1171,18
1172,67
1173,6
1174,1
1175,2
1176,9
1177,39
1178,105
1179,66
1180,66
1181,4
1182,74
1183,8
1184,13
1185,49
1186,45
1187,48
1188,19
1189,2
1190,8
1191,45
1192,2
1193,14
1194,5
1195,20
1196,43
1197,6
1198,24
1199,20
1200,8
1201,59
1202,34
1203,11
1204,0
1205,62
1206,12
1207,25
1208,3
1209,25
1210,2
1211,66
1212,18
1213,9
1214,84
1215,82
1216,18
1217,16
1218,86
1219,87
1220,15
1221,27
1222,86
1223,2
1224,28
1225,8
1226,3
1227,0
1228,40
1229,20
1230,84
1231,40
1232,61
1233,6
1234,78
1235,7
1236,117
1237,10
1238,26
1239,29
1240,24
1241,31
1242,8
1243,90
1244,18
1245,23
1246,87
1247,24
1248,2
1249,99
1250,66
1251,47
1252,70
1253,4
1254,23
1255,43
1256,15
1257,26
1258,24
1259,72
1260,65
1261,49
1262,52
1263,15
1264,87
1265,3
1266,69
1267,79
1268,73
1269,17
1270,39
1271,15
1272,3
1273,68
1274,87
1275,2
1276,86
1277,29
1278,7
1279,34
1280,13
1281,2
1282,78
1283,78
1284,54
1285,42
1286,25
1287,1
1288,37
1289,54
1290,55
1291,55
1292,3
1293,63
1294,3
1295,90
1296,58
1297,3
1298,9
1299,43
1300,66
1301,90
1302,30
1303,84
1304,13
1305,3
1306,3
1307,20
1308,2
1309,101
1310,3
1311,11
1312,34
1313,2
1314,1
1315,22
1316,68
1317,82
1318,4
1319,9
1320,12
1321,1
1322,6
1323,26
1324,11
1325,74
1326,5
1327,11
1328,4
1329,16
1330,86
1331,3
1332,6
1333,39
1334,56
1335,4
1336,82
1337,95
1338,71
1339,4
1340,30
1341,12
1342,2
1343,86
1344,35
1345,43
1346,32
1347,83
1348,76
1349,90
1350,0
1351,78
1352,78
1353,16
1354,1
1355,4
1356,2
1357,11
1358,63
1359,2
1360,3
1361,5
1362,10
1363,5
1364,4
1365,23
1366,2
1367,4
1368,14
