index,critical_temp
0,1
1,71
2,19
3,5
4,18
5,58
6,17
7,16
8,91
9,5
10,39
11,7
12,36
13,30
14,27
15,14
16,6
17,39
18,83
19,28
20,17
21,9
22,78
23,76
24,22
25,64
26,3
27,24
28,47
29,114
30,25
31,26
32,3
33,12
34,4
35,58
36,15
37,57
38,39
39,74
40,42
41,46
42,55
43,0
44,4
45,79
46,37
47,82
48,92
49,25
50,46
51,5
52,0
53,38
54,65
55,3
56,122
57,2
58,12
59,93
60,74
61,88
62,22
63,20
64,41
65,40
66,47
67,7
68,1
69,5
70,13
71,31
72,8
73,3
74,22
75,1
76,5
77,10
78,16
79,47
80,80
81,3
82,6
83,28
84,6
85,42
86,9
87,17
88,16
89,9
90,14
91,7
92,5
93,3
94,83
95,0
96,27
97,0
98,48
99,74
100,87
101,55
102,91
103,11
104,125
105,64
106,48
107,2
108,6
109,16
110,2
111,1
112,12
113,7
114,78
115,3
116,55
117,22
118,3
119,80
120,78
121,3
122,11
123,24
124,81
125,68
126,79
127,91
128,23
129,66
130,27
131,48
132,3
133,39
134,3
135,17
136,26
137,28
138,4
139,4
140,85
141,90
142,75
143,1
144,59
145,3
146,2
147,35
148,30
149,1
150,69
151,32
152,87
153,25
154,3
155,46
156,6
157,31
158,85
159,25
160,6
161,31
162,96
163,119
164,2
165,51
166,69
167,123
168,34
169,69
170,26
171,76
172,39
173,67
174,30
175,79
176,12
177,4
178,88
179,2
180,19
181,14
182,26
183,26
184,4
185,63
186,3
187,5
188,1
189,5
190,66
191,9
192,79
193,77
194,17
195,4
196,19
197,6
198,2
199,84
200,86
201,92
202,5
203,4
204,86
205,79
206,28
207,5
208,62
209,5
210,37
211,10
212,69
213,124
214,5
215,79
216,6
217,31
218,11
219,42
220,20
221,5
222,7
223,11
224,11
225,14
226,1
227,1
228,40
229,7
230,1
231,91
232,24
233,18
234,4
235,32
236,82
237,22
238,18
239,35
240,53
241,33
242,106
243,72
244,18
245,3
246,0
247,83
248,1
249,0
250,2
251,5
252,8
253,1
254,4
255,83
256,34
257,51
258,105
259,1
260,4
261,70
262,23
263,77
264,26
265,39
266,103
267,8
268,53
269,68
270,5
271,2
272,8
273,72
274,57
275,5
276,1
277,69
278,4
279,34
280,7
281,18
282,1
283,3
284,92
285,35
286,58
287,26
288,1
289,91
290,53
291,11
292,33
293,91
294,74
295,2
296,51
297,67
298,2
299,32
300,28
301,90
302,132
303,30
304,8
305,3
306,49
307,21
308,72
309,46
310,5
311,67
312,35
313,1
314,37
315,24
316,129
317,2
318,11
319,31
320,32
321,25
322,64
323,23
324,11
325,16
326,1
327,13
328,24
329,3
330,8
331,15
332,57
333,20
334,14
335,37
336,0
337,0
338,46
339,86
340,92
341,16
342,6
343,70
344,77
345,89
346,1
347,15
348,6
349,9
350,34
351,89
352,35
353,6
354,15
355,3
356,2
357,14
358,0
359,5
360,31
361,25
362,9
363,21
364,7
365,5
366,39
367,11
368,2
369,3
370,1
371,11
372,70
373,27
374,106
375,17
376,29
377,48
378,130
379,3
380,9
381,47
382,2
383,10
384,58
385,60
386,74
387,46
388,37
389,75
390,32
391,76
392,72
393,23
394,9
395,3
396,4
397,21
398,16
399,12
400,80
401,7
402,54
403,5
404,20
405,5
406,10
407,34
408,9
409,106
410,10
411,20
412,33
413,69
414,77
415,7
416,1
417,6
418,4
419,9
420,18
421,11
422,18
423,3
424,8
425,6
426,2
427,32
428,1
429,6
430,3
431,51
432,3
433,61
434,4
435,16
436,5
437,8
438,1
439,66
440,112
441,5
442,0
443,8
444,85
445,6
446,3
447,8
448,7
449,35
450,0
451,6
452,10
453,12
454,3
455,74
456,26
457,15
458,3
459,2
460,70
461,29
462,36
463,81
464,65
465,76
466,67
467,8
468,3
469,6
470,54
471,63
472,5
473,14
474,43
475,23
476,47
477,5
478,45
479,0
480,56
481,1
482,39
483,55
484,112
485,29
486,25
487,84
488,25
489,1
490,3
491,10
492,3
493,86
494,26
495,6
496,74
497,5
498,15
