# index,critical_temp
0,72
1,79
2,48
3,70
4,2
5,96
6,38
7,5
8,21
9,32
10,31
11,29
12,3
13,33
14,19
15,14
16,4
17,90
18,79
19,10
20,11
21,100
22,4
23,13
24,2
25,0
26,1
27,10
28,5
29,10
30,0
31,6
32,82
33,2
34,90
35,2
36,44
37,5
38,16
39,0
40,24
41,3
42,7
43,39
44,2
45,61
46,23
47,62
48,83
49,30
50,1
51,17
52,74
53,0
54,28
55,64
56,75
57,88
58,18
59,2
60,20
61,91
62,29
63,3
64,94
65,83
66,10
67,46
68,26
69,6
70,21
71,28
72,87
73,15
74,57
75,5
76,35
77,6
78,48
79,2
80,7
81,1
82,5
83,9
84,9
85,87
86,22
87,3
88,26
89,4
90,5
91,0
92,28
93,6
94,3
95,62
96,14
97,2
98,71
99,87
100,27
101,92
102,65
103,11
104,88
105,5
106,69
107,3
108,19
109,9
110,133
111,129
112,56
113,9
114,14
115,35
116,2
117,10
118,14
119,2
120,91
121,11
122,2
123,22
124,3
125,33
126,13
127,84
128,13
129,89
130,12
131,0
132,13
133,55
134,2
135,66
136,0
137,4
138,15
139,72
140,77
141,63
142,12
143,49
144,26
145,74
146,5
147,81
148,68
149,2
150,39
151,54
152,8
153,32
154,82
155,0
156,7
157,9
158,3
159,22
160,4
161,4
162,52
163,30
164,52
165,82
166,40
167,2
168,37
169,11
170,108
171,74
172,8
173,85
174,67
175,9
176,19
177,87
178,9
179,3
180,77
181,14
182,8
183,31
184,3
185,8
186,35
187,21
188,4
189,45
190,3
191,3
192,88
193,17
194,7
195,5
196,84
197,33
198,10
199,36
200,3
201,5
202,0
203,4
204,67
205,30
206,10
207,103
208,11
209,12
210,27
211,109
212,12
213,8
214,54
215,71
216,4
217,59
218,21
219,4
220,1
221,71
222,60
223,4
224,5
225,87
226,58
227,0
228,6
229,3
230,2
231,13
232,75
233,31
234,83
235,25
236,57
237,78
238,16
239,94
240,34
241,39
242,88
243,8
244,80
245,82
246,82
247,74
248,6
249,3
250,82
251,4
252,72
253,14
254,13
255,40
256,0
257,91
258,89
259,89
260,22
261,14
262,53
263,3
264,2
265,5
266,2
267,4
268,40
269,80
270,56
271,83
272,7
273,29
274,37
275,1
276,1
277,22
278,5
279,46
280,1
281,18
282,111
283,26
284,90
285,73
286,90
287,5
288,32
289,7
290,78
291,31
292,26
293,26
294,18
295,65
296,6
297,56
298,2
299,74
300,10
301,11
302,72
303,21
304,76
305,102
306,10
307,36
308,76
309,29
310,2
311,2
312,3
313,3
314,50
315,4
316,40
317,37
318,8
319,92
320,8
321,10
322,7
323,5
324,89
325,0
326,19
327,88
328,4
329,9
330,67
331,69
332,11
333,56
334,6
335,4
336,5
337,8
338,1
339,125
340,4
341,45
342,78
343,3
344,4
345,3
346,85
347,101
348,13
349,40
350,4
351,103
352,4
353,0
354,4
355,24
356,3
357,4
358,2
359,13
360,72
361,1
362,20
363,24
364,32
365,16
366,4
367,55
368,3
369,63
370,0
371,54
372,7
373,13
374,3
375,49
376,54
377,15
378,108
379,4
380,92
381,38
382,2
383,5
384,73
385,7
386,85
387,6
388,91
389,4
390,5
391,9
392,12
393,9
394,17
395,122
396,1
397,5
398,36
399,1
400,23
401,78
402,5
403,75
404,32
